Magic_Item_ID	Type	Rarity	Roll_Min	Roll_Max	Item	Decision_Type	Info_1	Info_2	Active
magic:relics:very-rare:potion-of-vitality	Relics	Very Rare	44.0	50.0	Potion of Vitality	none			true
magic:relics:very-rare:rod-of-alertness	Relics	Very Rare	51.0	55.0	Rod of Alertness	none			true
magic:relics:very-rare:spell-scroll	Relics	Very Rare	56.0	65.0	Spell Scroll	spell_level	6.0	8.0	true
magic:relics:very-rare:spirit-board	Relics	Very Rare	66.0	70.0	Spirit Board	none			true
magic:relics:very-rare:staff-of-fire	Relics	Very Rare	71.0	75.0	Staff of Fire	none			true
magic:relics:very-rare:staff-of-frost	Relics	Very Rare	76.0	80.0	Staff of Frost	none			true
magic:relics:very-rare:staff-of-striking	Relics	Very Rare	81.0	85.0	Staff of Striking	none			true
magic:relics:very-rare:staff-of-thunder-and-lightning	Relics	Very Rare	86.0	90.0	Staff of Thunder and Lightning	none			true
magic:relics:very-rare:tome-of-understanding	Relics	Very Rare	91.0	95.0	Tome of Understanding	none			true
magic:relics:very-rare:wand-of-the-war-mage-3	Relics	Very Rare	96.0	100.0	Wand of the War Mage, +3	none			true
magic:relics:legendary:armor-of-invulnerability	Relics	Legendary	1.0	8.0	Armor of Invulnerability	none			true
magic:relics:legendary:armor-3	Relics	Legendary	9.0	18.0	Armor, +3	none			true
magic:relics:legendary:enspelled-staff	Relics	Legendary	19.0	27.0	Enspelled Staff	enspelled_item	staff		true
magic:relics:legendary:holy-avenger	Relics	Legendary	28.0	36.0	Holy Avenger	none			true
magic:relics:legendary:horn-of-valhalla	Relics	Legendary	37.0	45.0	Horn of Valhalla	fixed_variant	iron		true
magic:relics:legendary:rod-of-resurrection	Relics	Legendary	46.0	54.0	Rod of Resurrection	none			true
magic:relics:legendary:scarab-of-protection	Relics	Legendary	55.0	63.0	Scarab of Protection	none			true
magic:relics:legendary:scroll-of-titan-summoning	Relics	Legendary	64.0	72.0	Scroll of Titan Summoning	none			true
magic:relics:legendary:spell-scroll	Relics	Legendary	73.0	80.0	Spell Scroll	spell_level	9.0	9.0	true
magic:relics:legendary:talisman-of-pure-good	Relics	Legendary	81.0	90.0	Talisman of Pure Good	none			true
magic:relics:legendary:talisman-of-ultimate-evil	Relics	Legendary	91.0	100.0	Talisman of Ultimate Evil	none			true
magic:implements:uncommon:enspelled-tool	Implements	Uncommon			Enspelled Tool	enspelled_item	tool		true
magic:relics:uncommon:enspelled-trinket	Relics	Uncommon			Enspelled Trinket	enspelled_item	trinket		true
magic:implements:rare:enspelled-tool	Implements	Rare			Enspelled Tool	enspelled_item	tool		true
magic:relics:rare:enspelled-trinket	Relics	Rare			Enspelled Trinket	enspelled_item	trinket		true
magic:implements:very-rare:enspelled-tool	Implements	Very Rare			Enspelled Tool	enspelled_item	tool		true
magic:relics:very-rare:enspelled-trinket	Relics	Very Rare			Enspelled Trinket	enspelled_item	trinket		true
magic:implements:legendary:enspelled-tool	Implements	Legendary			Enspelled Tool	enspelled_item	tool		true
magic:relics:legendary:enspelled-trinket	Relics	Legendary			Enspelled Trinket	enspelled_item	trinket		true
